,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,Profit,ROMS,ROMS%
4,1,Peoria,Arizona,Region 2,Old,2601,48610,46009,1768.9,17.689
130,2,Midland,Texas,Region 2,Old,2727,45689,42962,1575.43,15.7543
146,3,Spokane,Washington,Region 2,Old,2768,49554,46786,1690.25,16.9025
124,4,Denton,Texas,Region 2,Old,2759,38284,35525,1287.6,12.876
83,5,Overland Park,Kansas,Region 2,Old,2869,59887,57018,1987.38,19.873800000000003
104,6,Yonkers,New York,Region 1,Old,3080,53827,50747,1647.63,16.476300000000002
0,7,Birmingham,Alabama,Region 1,Old,3110,60338,57228,1840.13,18.401300000000003
8,8,Antioch,California,Region 2,Old,2593,19569,16976,654.69,6.546900000000001
89,9,Worcester,Massachusetts,Region 1,Old,2675,59840,57165,2137.01,21.3701
102,10,Rochester,New York,Region 1,Old,2984,64906,61922,2075.13,20.7513
32,11,Rialto,California,Region 2,Old,2541,16860,14319,563.52,5.6352
39,12,Santa Maria,California,Region 2,Old,2651,21988,19337,729.42,7.2942
101,13,Las Cruces,New Mexico,Region 2,Old,2895,19888,16993,586.98,5.869800000000001
94,14,Jackson,Mississippi,Region 1,Old,3466,54701,51235,1478.22,14.7822
111,15,Hillsboro,Oregon,Region 2,Old,2686,18471,15785,587.68,5.876799999999999
42,16,Temecula,California,Region 2,Old,2795,16690,13895,497.14,4.9714
67,17,Tallahassee,Florida,Region 1,Old,2737,47729,44992,1643.84,16.438399999999998
16,18,Fontana,California,Region 2,Old,3085,63027,59942,1943.01,19.4301
144,19,Kent,Washington,Region 2,Old,2894,43183,40289,1392.16,13.921600000000002
109,20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,16355,591.5,5.915
11,21,Concord,California,Region 2,Old,2521,38178,35657,1414.4,14.144
22,22,Modesto,California,Region 2,Old,3077,56836,53759,1747.12,17.4712
3,23,Montgomery,Alabama,Region 1,Old,3287,52114,48827,1485.46,14.8546
9,24,Burbank,California,Region 2,Old,3679,20123,16444,446.97,4.4697000000000005
15,25,Elk Grove,California,Region 2,Old,2918,49856,46938,1608.57,16.0857
66,26,Port St. Lucie,Florida,Region 1,Old,2420,55790,53370,2205.37,22.0537
98,27,Elizabeth,New Jersey,Region 1,Old,2557,45017,42460,1660.54,16.6054
137,28,Salt Lake City,Utah,Region 2,Old,3620,56921,53301,1472.4,14.724
135,29,Waco,Texas,Region 2,Old,2483,39744,37261,1500.64,15.006400000000001
97,30,Edison,New Jersey,Region 1,Old,3131,22972,19841,633.7,6.337000000000001
48,31,Boulder,Colorado,Region 2,Old,3083,22680,19597,635.65,6.3565
90,32,Grand Rapids,Michigan,Region 1,Old,2808,65475,62667,2231.73,22.3173
134,33,Tyler,Texas,Region 2,Old,2984,21718,18734,627.82,6.278200000000001
113,34,Charleston,South Carolina,Region 1,Old,2484,34829,32345,1302.13,13.021300000000002
1,35,Huntsville,Alabama,Region 1,Old,3335,59283,55948,1677.6,16.776
131,36,Pearland,Texas,Region 2,Old,3127,20057,16930,541.41,5.4140999999999995
21,37,Inglewood,California,Region 2,Old,2904,20455,17551,604.37,6.0437
29,38,Oxnard,California,Region 2,Old,2318,64302,61984,2674.03,26.7403
63,39,Miramar,Florida,Region 1,Old,3488,49506,46018,1319.32,13.1932
57,40,Cape Coral,Florida,Region 1,Old,2886,52250,49364,1710.46,17.1046
103,41,Syracuse,New York,Region 1,Old,2373,41313,38940,1640.96,16.4096
141,42,Newport News,Virginia,Region 1,Old,2758,57625,54867,1989.38,19.893800000000002
127,43,Lewisville,Texas,Region 2,Old,2607,16029,13422,514.84,5.1484000000000005
122,44,Carrollton,Texas,Region 2,Old,3146,49191,46045,1463.6,14.636
35,45,San Bernardino,California,Region 2,Old,3399,59870,56471,1661.4,16.614
30,46,Pasadena,California,Region 2,Old,2790,48254,45464,1629.53,16.2953
34,47,Roseville,California,Region 2,Old,3220,43397,40177,1247.73,12.4773
24,48,Murrieta,California,Region 2,Old,2344,16372,14028,598.46,5.9846
133,49,San Angelo,Texas,Region 2,Old,2939,50233,47294,1609.19,16.0919
82,50,Olathe,Kansas,Region 2,Old,3082,41460,38378,1245.23,12.452300000000001
107,51,Akron,Ohio,Region 1,Old,2338,50364,48026,2054.15,20.5415
17,52,Fullerton,California,Region 2,Old,3246,44223,40977,1262.38,12.623800000000001
96,53,Manchester,New Hampshire,Region 1,Old,2374,17006,14632,616.34,6.1634
143,54,Everett,Washington,Region 2,Old,3129,15562,12433,397.35,3.9735
47,55,West Covina,California,Region 2,Old,2939,21824,18885,642.57,6.425700000000001
52,56,Thornton,Colorado,Region 2,Old,2642,46490,43848,1659.65,16.596500000000002
140,57,Hampton,Virginia,Region 1,Old,2871,38782,35911,1250.82,12.508199999999999
56,58,Waterbury,Connecticut,Region 1,Old,3392,19350,15958,470.46,4.7046
44,59,Ventura,California,Region 2,Old,3228,16652,13424,415.86,4.1586
80,60,Davenport,Iowa,Region 1,Old,3175,23764,20589,648.47,6.4847
114,61,Columbia,South Carolina,Region 1,Old,2874,42803,39929,1389.32,13.8932
41,62,Simi Valley,California,Region 2,Old,2792,41110,38318,1372.42,13.724200000000002
33,63,Richmond,California,Region 2,Old,3924,19448,15524,395.62,3.9562
7,64,Little Rock,Arkansas,Region 2,Old,2440,68828,66388,2720.82,27.2082
14,65,El Cajon,California,Region 2,Old,2950,19529,16579,562.0,5.62
37,66,Santa Clara,California,Region 2,Old,2462,29008,26546,1078.23,10.7823
26,67,Oceanside,California,Region 2,Old,3084,55684,52600,1705.58,17.055799999999998
59,68,Davie,Florida,Region 1,Old,3177,45418,42241,1329.59,13.2959
62,69,Lakeland,Florida,Region 1,Old,3003,18297,15294,509.29,5.0929
49,70,Centennial,Colorado,Region 2,Old,3697,18966,15269,413.01,4.1301
88,71,Lowell,Massachusetts,Region 1,Old,2857,18838,15981,559.36,5.5936
27,72,Ontario,California,Region 2,Old,3168,52078,48910,1543.88,15.4388
64,73,Palm Bay,Florida,Region 1,Old,2943,25321,22378,760.38,7.6038
119,74,Murfreesboro,Tennessee,Region 2,Old,2777,40545,37768,1360.03,13.600299999999999
148,75,Vancouver,Washington,Region 2,Old,3329,58951,55622,1670.83,16.708299999999998
84,76,Topeka,Kansas,Region 2,Old,2854,40921,38067,1333.81,13.338099999999999
139,77,West Valley City,Utah,Region 2,Old,2555,49609,47054,1841.64,18.4164
54,78,New Haven,Connecticut,Region 1,Old,3162,45550,42388,1340.54,13.4054
51,79,Pueblo,Colorado,Region 2,Old,2928,19563,16635,568.14,5.6814
12,80,Costa Mesa,California,Region 2,Old,2275,41361,39086,1718.07,17.180699999999998
18,81,Garden Grove,California,Region 2,Old,3285,57530,54245,1651.29,16.5129
60,82,Fort Lauderdale,Florida,Region 1,Old,3217,54768,51551,1602.46,16.0246
115,83,North Charleston,South Carolina,Region 1,Old,3115,18754,15639,502.05,5.0205
87,84,Cambridge,Massachusetts,Region 1,Old,2779,21286,18507,665.96,6.6596
50,85,Greeley,Colorado,Region 2,Old,3277,48796,45519,1389.04,13.8904
110,86,Gresham,Oregon,Region 2,Old,2745,19708,16963,617.96,6.179600000000001
120,87,Amarillo,Texas,Region 2,Old,3984,56089,52105,1307.86,13.0786
106,88,High Point,North Carolina,Region 1,Old,3262,19752,16490,505.52,5.0552
46,89,Vista,California,Region 2,Old,2718,20949,18231,670.75,6.7075
147,90,Tacoma,Washington,Region 2,Old,2552,45666,43114,1689.42,16.8942
129,91,Mesquite,Texas,Region 2,Old,3072,40779,37707,1227.44,12.2744
69,92,Augusta,Georgia,Region 1,Old,2676,47482,44806,1674.36,16.7436
74,93,Elgin,Illinois,Region 1,Old,2553,18215,15662,613.47,6.1347000000000005
73,94,Aurora,Illinois,Region 1,Old,2685,50650,47965,1786.41,17.8641
61,95,Gainesville,Florida,Region 1,Old,2990,48933,45943,1536.56,15.365599999999999
108,96,Dayton,Ohio,Region 1,Old,2805,42026,39221,1398.25,13.9825
136,97,Wichita Falls,Texas,Region 2,Old,2846,15735,12889,452.88,4.5288
76,98,Naperville,Illinois,Region 1,Old,2699,39856,37157,1376.7,13.767000000000001
10,99,Clovis,California,Region 2,Old,2901,20669,17768,612.48,6.1248000000000005
95,100,Billings,Montana,Region 1,Old,3015,20541,17526,581.29,5.8129
5,101,Surprise,Arizona,Region 2,Old,2160,33647,31487,1457.73,14.577300000000001
58,102,Coral Springs,Florida,Region 1,Old,3079,41319,38240,1241.96,12.4196
45,103,Visalia,California,Region 2,Old,2104,45632,43528,2068.82,20.688200000000002
126,104,Killeen,Texas,Region 2,Old,2962,43773,40811,1377.82,13.7782
28,105,Orange,California,Region 2,Old,2830,36821,33991,1201.1,12.011
132,106,Richardson,Texas,Region 2,Old,3228,22824,19596,607.06,6.0706
78,107,South Bend,Indiana,Region 1,Old,3005,21953,18948,630.55,6.305499999999999
105,108,Fayetteville,North Carolina,Region 1,Old,3020,51229,48209,1596.32,15.963199999999999
116,109,Sioux Falls,South Dakota,Region 1,Old,2947,50583,47636,1616.42,16.1642
125,110,Grand Prairie,Texas,Region 2,Old,3131,50895,47764,1525.52,15.2552
55,111,Stamford,Connecticut,Region 1,Old,2901,46503,43602,1503.0,15.03
